,context,ques,ans
1198,"IIT Patna's Civil and Environmental Engineering department offers both a four-year bachelor's program and a two-year master's program in Civil Engineering, supported by state-of-the-art research laboratories that enable students to conduct research and experimentation.",What resources support the academic programs in this department?,State-of-the-art research laboratories.
1199,"IIT Patna's Civil and Environmental Engineering department offers both a four-year bachelor's program and a two-year master's program in Civil Engineering, supported by state-of-the-art research laboratories that enable students to conduct research and experimentation.",What do these laboratories enable students to do?,Conduct research and experimentation.
1200,"IIT Patna's Civil and Environmental Engineering department offers both a four-year bachelor's program and a two-year master's program in Civil Engineering, supported by state-of-the-art research laboratories that enable students to conduct research and experimentation.",Does this department offer doctoral programs?,The paragraph does not explicitly mention PhD programs.
1201,"The Civil and Environmental Engineering department at IIT Patna is committed to providing holistic and enriching training to students, with numerous ongoing/approved projects and consultancy works, continuously upgrading experimental and computational facilities to stay at the forefront of civil engineering education.",What kind of training is the Civil and Environmental Engineering department at IIT Patna committed to providing?,Holistic and enriching training.
1202,"The Civil and Environmental Engineering department at IIT Patna is committed to providing holistic and enriching training to students, with numerous ongoing/approved projects and consultancy works, continuously upgrading experimental and computational facilities to stay at the forefront of civil engineering education.",What kind of projects are undertaken by the department?,Numerous ongoing/approved projects and consultancy works.
1203,"The Civil and Environmental Engineering department at IIT Patna is committed to providing holistic and enriching training to students, with numerous ongoing/approved projects and consultancy works, continuously upgrading experimental and computational facilities to stay at the forefront of civil engineering education.",What efforts does the department make to maintain high educational standards?,Continuously upgrading experimental and computational facilities.
1204,"The Civil and Environmental Engineering department at IIT Patna is committed to providing holistic and enriching training to students, with numerous ongoing/approved projects and consultancy works, continuously upgrading experimental and computational facilities to stay at the forefront of civil engineering education.",What is the ultimate goal of these efforts?,To stay at the forefront of civil engineering education.
1205,"IIT Patna's Civil and Environmental Engineering department provides industrial and research training opportunities to help students excel in their professional lives, focusing on practical experience alongside theoretical knowledge to produce well-rounded civil engineers capable of addressing real-world challenges.",What types of training opportunities does the Civil and Environmental Engineering department at IIT Patna offer to its students?,Industrial and research training opportunities.
1206,"IIT Patna's Civil and Environmental Engineering department provides industrial and research training opportunities to help students excel in their professional lives, focusing on practical experience alongside theoretical knowledge to produce well-rounded civil engineers capable of addressing real-world challenges.",What is the primary goal of providing these opportunities?,To help students excel in their professional lives.
1207,"IIT Patna's Civil and Environmental Engineering department provides industrial and research training opportunities to help students excel in their professional lives, focusing on practical experience alongside theoretical knowledge to produce well-rounded civil engineers capable of addressing real-world challenges.",What is the department's approach to educating civil engineers?,Focusing on practical experience alongside theoretical knowledge.
1208,"IIT Patna's Civil and Environmental Engineering department provides industrial and research training opportunities to help students excel in their professional lives, focusing on practical experience alongside theoretical knowledge to produce well-rounded civil engineers capable of addressing real-world challenges.",What kind of civil engineers does the department aim to produce?,Well-rounded civil engineers capable of addressing real-world challenges.
1209,"The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1].",How long is the M.Tech program in Computer Science and Engineering at IIT Patna?,Four semesters.
1210,"The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1].",What is the name of a core course in the first semester of this program?,Foundations of Computer Systems (CS-541).
1211,"The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1].",What are the three main areas covered in the Foundations of Computer Systems course?,"Computer architecture, operating systems, and computer networks."
1212,"The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1].",What are two examples of topics covered under computer architecture in this course?,RISC and CISC paradigms.
1213,"The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1].",What is an example of a topic covered under computer networks in this course?,Distributed networked systems.
1214,"The Computer Systems Lab-1 (CS559) in the M.Tech CSE program at IIT Patna focuses on practical aspects of OS programming, including process creation and synchronization, shared memory and semaphore, shell programming, socket programming, database creation, and basics of compiler writing using lex and yacc[1].",What is the name of the laboratory course in the first semester of the M.Tech CSE program at IIT Patna that focuses on operating systems?,Computer Systems Lab-1 (CS559).
1215,"The Computer Systems Lab-1 (CS559) in the M.Tech CSE program at IIT Patna focuses on practical aspects of OS programming, including process creation and synchronization, shared memory and semaphore, shell programming, socket programming, database creation, and basics of compiler writing using lex and yacc[1].",Name three practical aspects of OS programming covered in this lab course.,"Process creation and synchronization, shared memory and semaphore, and shell programming."
1216,"The Computer Systems Lab-1 (CS559) in the M.Tech CSE program at IIT Patna focuses on practical aspects of OS programming, including process creation and synchronization, shared memory and semaphore, shell programming, socket programming, database creation, and basics of compiler writing using lex and yacc[1].",What are two other programming skills taught in this lab related to networking and data management?,Socket programming and database creation.
1217,"The Computer Systems Lab-1 (CS559) in the M.Tech CSE program at IIT Patna focuses on practical aspects of OS programming, including process creation and synchronization, shared memory and semaphore, shell programming, socket programming, database creation, and basics of compiler writing using lex and yacc[1].",What aspect of compiler design is introduced in this lab course?,Basics of compiler writing using lex and yacc.
1218,"The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1].",In which semester of the M.Tech CSE program at IIT Patna is the Foundations of Theoretical Computer Science course offered?,Second semester.
1219,"The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1].",What is the course code for Foundations of Theoretical Computer Science?,CS511.
1220,"The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1].",Name four main areas covered in this core theory course.,"Discrete structures, logic, automata and languages, and computability theory."
1221,"The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1].",What is an example of a topic covered under computability theory in this course?,Church-Turing thesis.
1222,"The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1].",What is another example of a topic covered in computability theory mentioned in this paragraph?,Hilbert's problem.
1223,"The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2].",What is the full name of the M.Tech program mentioned in this paragraph?,M.Tech program in Electrical and Electronics Engineering (Power and Control Systems).
1224,"The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2].",Name two core courses in the first semester of this M.Tech program at IIT Patna.,Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573).
1225,"The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2].",How many elective courses are part of the first-semester curriculum?,Three.
1226,"The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2].","Besides core and elective courses, what other components are included in the first semester?",A laboratory course and Technical Communications (HSS 513).
1227,"The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2].",What is the course code for Computer Aided Power System Analysis?,EE 571.
1228,"The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2].",How many elective courses are listed for the first semester of the M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna?,Five.
1229,"The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2].",Name three elective courses available in the first semester of this program.,"Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), and Digital Control (EE 577)."
1230,"The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2].",What is the course code for Advanced Engineering Mathematics?,MH 503.
1231,"The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2].",Which elective course in the first semester is from the Computer Science department?,Artificial Intelligence (CS 561).
1232,"The first semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna offer diverse options including Advanced Engineering Mathematics (MH 503), Control of Mechatronic Systems (EE 501), Digital Control (EE 577), Generalized Theory of Electrical Machines (EE 589), and Artificial Intelligence (CS 561)[2].",What is the focus of the elective course Generalized Theory of Electrical Machines?,The fundamental principles underlying the operation of various types of electrical machines.
1233,"The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), and HVDC Transmission and FACTS (EE 586)[2].",How many elective courses are listed for the second semester of the M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna?,Five.
1234,"The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), and HVDC Transmission and FACTS (EE 586)[2].",Name three elective courses offered in the second semester of this program.,"Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), and Optimal Control Systems (EE 580)."
1235,"The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), and HVDC Transmission and FACTS (EE 586)[2].",What is the focus of the elective course HVDC Transmission and FACTS?,High Voltage Direct Current transmission and Flexible AC Transmission Systems.
1236,"The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), and HVDC Transmission and FACTS (EE 586)[2].",What is the course code for Microprocessors and Embedded Systems?,EE 504.
1237,"The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), and HVDC Transmission and FACTS (EE 586)[2].",Which elective course in the second semester deals with mathematical methods for control systems?,Optimal Control Systems (EE 580).
1238,"The M.Tech program in Mechanical Engineering at IIT Patna allows students to choose from three specialized streams: Thermo-fluids, Solid Mechanics & Design, and Manufacturing, with a curriculum comprising four core courses and six elective courses, designed to provide both breadth and depth in mechanical engineering education[3].",How many specialized streams are offered in the M.Tech program in Mechanical Engineering at IIT Patna?,Three.
1239,"The M.Tech program in Mechanical Engineering at IIT Patna allows students to choose from three specialized streams: Thermo-fluids, Solid Mechanics & Design, and Manufacturing, with a curriculum comprising four core courses and six elective courses, designed to provide both breadth and depth in mechanical engineering education[3].",What are the names of these three specialized streams?,"Thermo-fluids, Solid Mechanics & Design, and Manufacturing."
1240,"The M.Tech program in Mechanical Engineering at IIT Patna allows students to choose from three specialized streams: Thermo-fluids, Solid Mechanics & Design, and Manufacturing, with a curriculum comprising four core courses and six elective courses, designed to provide both breadth and depth in mechanical engineering education[3].",How many core courses are included in the curriculum of this M.Tech program?,Four.
1241,"The M.Tech program in Mechanical Engineering at IIT Patna allows students to choose from three specialized streams: Thermo-fluids, Solid Mechanics & Design, and Manufacturing, with a curriculum comprising four core courses and six elective courses, designed to provide both breadth and depth in mechanical engineering education[3].",How many elective courses are included in the curriculum of this M.Tech program?,Six.
1242,"The M.Tech program in Mechanical Engineering at IIT Patna allows students to choose from three specialized streams: Thermo-fluids, Solid Mechanics & Design, and Manufacturing, with a curriculum comprising four core courses and six elective courses, designed to provide both breadth and depth in mechanical engineering education[3].",What is the educational philosophy behind the curriculum design of this M.Tech program?,To provide both breadth and depth in mechanical engineering education.
1243,"The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3].",What is the basic educational qualification required for admission to the M.Tech in Mechanical Engineering at IIT Patna?,A B.Tech/B.E. degree.
1244,"The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3].",Name three engineering disciplines that qualify for this M.Tech program.,"Aerospace, Aeronautical, Automobile."
1245,"The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3].",What standardized test score is also required for eligibility?,A valid GATE score.
1246,"The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3].",In which GATE subjects is a valid score acceptable for this program?,"Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)."
1247,"The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3].",Is a GATE score in Chemical Engineering acceptable for this M.Tech program?,"No, it is not listed as an acceptable GATE subject."
1248,"The elective courses for M.Tech in Mechanical Engineering at IIT Patna are organized into three groups, with students required to select three courses from three different groups, including options like Computational Fluid Dynamics (ME503), Finite Element Analysis (ME533), and Advanced Manufacturing Processes (ME742)[3].",How are the elective courses for the M.Tech in Mechanical Engineering at IIT Patna organized?,Into three groups.
1249,"The elective courses for M.Tech in Mechanical Engineering at IIT Patna are organized into three groups, with students required to select three courses from three different groups, including options like Computational Fluid Dynamics (ME503), Finite Element Analysis (ME533), and Advanced Manufacturing Processes (ME742)[3].",How many elective courses are students required to select from these groups?,Three.
1250,"The elective courses for M.Tech in Mechanical Engineering at IIT Patna are organized into three groups, with students required to select three courses from three different groups, including options like Computational Fluid Dynamics (ME503), Finite Element Analysis (ME533), and Advanced Manufacturing Processes (ME742)[3].",What is the constraint on selecting these elective courses from the groups?,Students must select three courses from three different groups.
1251,"The elective courses for M.Tech in Mechanical Engineering at IIT Patna are organized into three groups, with students required to select three courses from three different groups, including options like Computational Fluid Dynamics (ME503), Finite Element Analysis (ME533), and Advanced Manufacturing Processes (ME742)[3].",Name three example elective courses mentioned for this program.,"Computational Fluid Dynamics (ME503), Finite Element Analysis (ME533), and Advanced Manufacturing Processes (ME742)."
1252,"The Department of Civil and Environmental Engineering at IIT Patna offers a comprehensive curriculum covering essential areas such as Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, Soil Mechanics, Civil Engineering Materials, and Infrastructure Drawing and Estimation[4].",Which department at IIT Patna offers a curriculum that includes the study of soil?,The Department of Civil and Environmental Engineering.
1253,"The Department of Civil and Environmental Engineering at IIT Patna offers a comprehensive curriculum covering essential areas such as Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, Soil Mechanics, Civil Engineering Materials, and Infrastructure Drawing and Estimation[4].",Name five essential areas covered in the curriculum of this department at IIT Patna.,"Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, and Soil Mechanics."
1254,"The Department of Civil and Environmental Engineering at IIT Patna offers a comprehensive curriculum covering essential areas such as Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, Soil Mechanics, Civil Engineering Materials, and Infrastructure Drawing and Estimation[4].",What is another area of study related to the properties of building materials included in the curriculum?,Civil Engineering Materials.
1255,"The Department of Civil and Environmental Engineering at IIT Patna offers a comprehensive curriculum covering essential areas such as Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, Soil Mechanics, Civil Engineering Materials, and Infrastructure Drawing and Estimation[4].",What is the area of study that involves the representation of infrastructure projects?,Infrastructure Drawing and Estimation.
1256,"Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4].",Name three advanced courses offered in the Civil Engineering curriculum at IIT Patna.,"Foundation Engineering, Numerical Methods in Civil Engineering, and Design of Reinforced Concrete Structures."
1257,"Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4].",What is an advanced course focused on the design of buildings and bridges?,Design of Reinforced Concrete Structures.
1258,"Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4].",What are two advanced courses related to water management in the Civil Engineering curriculum?,Water Supply and Wastewater Engineering and Water Resources Engineering.
1259,"Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4].",What is an advanced course related to the planning and execution of construction projects?,Construction Planning and Management.
1260,"Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4].",What is another advanced course that focuses on a different type of structural material?,Design of Steel Structures.
1261,"Research projects in the Geotechnical Engineering area at IIT Patna's Civil and Environmental Engineering department include Liquefaction Assessment of Vaishali Stupa Site and Review of the Structural and Geotechnical Design for ISBT Patna, Bihar, providing students with real-world application opportunities[4].",In which specific area of Civil and Environmental Engineering are research projects mentioned at IIT Patna?,Geotechnical Engineering.
1262,"Research projects in the Geotechnical Engineering area at IIT Patna's Civil and Environmental Engineering department include Liquefaction Assessment of Vaishali Stupa Site and Review of the Structural and Geotechnical Design for ISBT Patna, Bihar, providing students with real-world application opportunities[4].",Name one research project in Geotechnical Engineering at IIT Patna.,Liquefaction Assessment of Vaishali Stupa Site.
1263,"Research projects in the Geotechnical Engineering area at IIT Patna's Civil and Environmental Engineering department include Liquefaction Assessment of Vaishali Stupa Site and Review of the Structural and Geotechnical Design for ISBT Patna, Bihar, providing students with real-world application opportunities[4].",What is another research project mentioned in this area?,"Review of the Structural and Geotechnical Design for ISBT Patna, Bihar."
1264,"Research projects in the Geotechnical Engineering area at IIT Patna's Civil and Environmental Engineering department include Liquefaction Assessment of Vaishali Stupa Site and Review of the Structural and Geotechnical Design for ISBT Patna, Bihar, providing students with real-world application opportunities[4].",What benefit do these research projects provide to students?,Real-world application opportunities.
1265,"Research projects in the Geotechnical Engineering area at IIT Patna's Civil and Environmental Engineering department include Liquefaction Assessment of Vaishali Stupa Site and Review of the Structural and Geotechnical Design for ISBT Patna, Bihar, providing students with real-world application opportunities[4].",What does Liquefaction Assessment typically involve in geotechnical engineering?,Evaluating the potential for soil to lose strength during an earthquake.
1266,"The B.Tech program in Chemical Engineering at IIT Patna has a structured curriculum starting with foundational courses in the first semester including Engineering Drawing (CE111), Electrical Sciences (EE101), Communicative English for Engineers (HS103), Mathematics-I (MA101), Workshop-I (ME110), Physics-I (PH101), and Physics Laboratory (PH110)[5].",What is the first course listed in the first semester of the B.Tech Chemical Engineering program at IIT Patna?,Engineering Drawing (CE111).
1267,"The B.Tech program in Chemical Engineering at IIT Patna has a structured curriculum starting with foundational courses in the first semester including Engineering Drawing (CE111), Electrical Sciences (EE101), Communicative English for Engineers (HS103), Mathematics-I (MA101), Workshop-I (ME110), Physics-I (PH101), and Physics Laboratory (PH110)[5].",Name three other foundational courses offered in the first semester of this program.,"Electrical Sciences (EE101), Communicative English for Engineers (HS103), and Mathematics-I (MA101)."
1268,"The B.Tech program in Chemical Engineering at IIT Patna has a structured curriculum starting with foundational courses in the first semester including Engineering Drawing (CE111), Electrical Sciences (EE101), Communicative English for Engineers (HS103), Mathematics-I (MA101), Workshop-I (ME110), Physics-I (PH101), and Physics Laboratory (PH110)[5].",Which course in the first semester involves practical work in a workshop setting?,Workshop-I (ME110).
1269,"The B.Tech program in Chemical Engineering at IIT Patna has a structured curriculum starting with foundational courses in the first semester including Engineering Drawing (CE111), Electrical Sciences (EE101), Communicative English for Engineers (HS103), Mathematics-I (MA101), Workshop-I (ME110), Physics-I (PH101), and Physics Laboratory (PH110)[5].",Name the two Physics-related courses offered in the first semester.,Physics-I (PH101) and Physics Laboratory (PH110).
1270,"The B.Tech program in Chemical Engineering at IIT Patna has a structured curriculum starting with foundational courses in the first semester including Engineering Drawing (CE111), Electrical Sciences (EE101), Communicative English for Engineers (HS103), Mathematics-I (MA101), Workshop-I (ME110), Physics-I (PH101), and Physics Laboratory (PH110)[5].",What is the course code for Mathematics-I in the first semester?,MA101.
1271,"The second semester of the B.Tech Chemical Engineering program at IIT Patna includes courses like Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), Chemistry Laboratory (CH110), Programming and Data Structures (CS102), Programming and Data Structures Laboratory (CS112), Basic Electronics Laboratory (EE102), Mathematics-II (MA102), and Engineering Mechanics (ME102)[5].",Name three courses offered in the second semester of the B.Tech Chemical Engineering program at IIT Patna.,"Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), and Chemistry Laboratory (CH110)."
1272,"The second semester of the B.Tech Chemical Engineering program at IIT Patna includes courses like Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), Chemistry Laboratory (CH110), Programming and Data Structures (CS102), Programming and Data Structures Laboratory (CS112), Basic Electronics Laboratory (EE102), Mathematics-II (MA102), and Engineering Mechanics (ME102)[5].",Which two courses in the second semester have associated laboratory components?,Chemistry Laboratory (CH110) and Programming and Data Structures Laboratory (CS112).
1273,"The second semester of the B.Tech Chemical Engineering program at IIT Patna includes courses like Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), Chemistry Laboratory (CH110), Programming and Data Structures (CS102), Programming and Data Structures Laboratory (CS112), Basic Electronics Laboratory (EE102), Mathematics-II (MA102), and Engineering Mechanics (ME102)[5].",What is the course that introduces programming concepts in the second semester?,Programming and Data Structures (CS102).
1274,"The second semester of the B.Tech Chemical Engineering program at IIT Patna includes courses like Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), Chemistry Laboratory (CH110), Programming and Data Structures (CS102), Programming and Data Structures Laboratory (CS112), Basic Electronics Laboratory (EE102), Mathematics-II (MA102), and Engineering Mechanics (ME102)[5].",What is the course code for Mathematics-II in the second semester?,MA102.
1275,"The second semester of the B.Tech Chemical Engineering program at IIT Patna includes courses like Biology and Environmental Studies (CB102 and CE102), Introductory Chemistry (CH101), Chemistry Laboratory (CH110), Programming and Data Structures (CS102), Programming and Data Structures Laboratory (CS112), Basic Electronics Laboratory (EE102), Mathematics-II (MA102), and Engineering Mechanics (ME102)[5].",Which engineering science course is offered in the second semester besides Electrical Sciences from the first semester?,Engineering Mechanics (ME102).
1276,"The third semester of the B.Tech Chemical Engineering program at IIT Patna introduces specialized courses including Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203), laying the foundation for advanced chemical engineering concepts[5].",In which semester of the B.Tech Chemical Engineering program at IIT Patna are specialized courses first introduced according to this paragraph?,Third semester.
1277,"The third semester of the B.Tech Chemical Engineering program at IIT Patna introduces specialized courses including Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203), laying the foundation for advanced chemical engineering concepts[5].",Name the three specialized courses mentioned for the third semester.,"Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203)."
1278,"The third semester of the B.Tech Chemical Engineering program at IIT Patna introduces specialized courses including Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203), laying the foundation for advanced chemical engineering concepts[5].",What is the purpose of these courses in the third semester?,Laying the foundation for advanced chemical engineering concepts.
1279,"The third semester of the B.Tech Chemical Engineering program at IIT Patna introduces specialized courses including Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203), laying the foundation for advanced chemical engineering concepts[5].",Which mathematics course is offered in the third semester?,Mathematics-III (MA201).
1280,"The third semester of the B.Tech Chemical Engineering program at IIT Patna introduces specialized courses including Mathematics-III (MA201), Chemical Process Calculations (CB211), and Fluid Mechanics (CB203), laying the foundation for advanced chemical engineering concepts[5].",What are the course codes for Chemical Process Calculations and Fluid Mechanics respectively?,CB211 and CB203.
